BTC,"$97,238.81",1.68%,2025-11-14 10:17:28
ETH,"$3,132.69",2.57%,2025-11-14 10:17:28
USDT,$0.9997,0.01%,2025-11-14 10:17:28
XRP,$2.27,1.69%,2025-11-14 10:17:28
BNB,$905.54,1.68%,2025-11-14 10:17:28
SOL,$141.13,2.20%,2025-11-14 10:17:28
USDC,$1.00,0.04%,2025-11-14 10:17:28
TRX,$0.2901,0.52%,2025-11-14 10:17:28
DOGE,$0.1613,1.70%,2025-11-14 10:17:28
ADA,$0.5147,2.16%,2025-11-14 10:17:28
BTC,"$97,238.81",1.68%,2025-11-14 10:18:30
ETH,"$3,132.69",2.57%,2025-11-14 10:18:30
USDT,$0.9997,0.01%,2025-11-14 10:18:30
XRP,$2.27,1.69%,2025-11-14 10:18:30
BNB,$905.54,1.68%,2025-11-14 10:18:30
SOL,$141.13,2.20%,2025-11-14 10:18:30
USDC,$1.00,0.04%,2025-11-14 10:18:30
TRX,$0.2901,0.52%,2025-11-14 10:18:30
DOGE,$0.1613,1.70%,2025-11-14 10:18:30
ADA,$0.5147,2.16%,2025-11-14 10:18:30
